title~views~uptime_y~uptime_m~uptime_d~link
Masha and the Bear 2023 =F0=9F=A4=94 Guess what?=E2=9D=93Best episodes cartoon collection =F0=9F=8E=AC~3,033,468~0~5~151~https://www.youtube.com/watch?v=3DWsLqtz7CwZs
NEW EPISODE =F0=9F=8D=93 Berry Naughty =F0=9F=A7=BA (Episode 87) =F0=9F=8D=93 Masha and the Bear 2023~13,745,898~0~5~151~https://www.youtube.com/watch?v=3D6cXFhrNGcVA
Masha and the Bear 2023 =F0=9F=8D=93 Berry Naughty =F0=9F=A7=BA (Trailer) New episode coming on May 19! =F0=9F=8E=AC~588,008~0~6~182~https://www.youtube.com/watch?v=3D4sD38OJc-qY
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=A9=B1 Stylish swim =F0=9F=91=99=F0=9F=8C=8A (Episode 25) =F0=9F=94=94~1,494,422~0~6~182~https://www.youtube.com/watch?v=3Dp74h55bcySw
Masha and the Bear 2023 =F0=9F=92=93 The Heart of the Family =F0=9F=91=A9=E2=80=8D=F0=9F=8D=BC Best episodes cartoon collection =F0=9F=8E=AC~3,557,419~0~6~182~https://www.youtube.com/watch?v=3D1xLrLCLeEpk
Masha and the Bear 2023 =F0=9F=8E=AC NEW EPISODE! =F0=9F=8E=AC Best cartoon collection =F0=9F=8C=8D Around the world in one day =F0=9F=97=BA=EF=B8=8F~10,168,949~0~6~182~https://www.youtube.com/watch?v=3DOh9l0Pqww_I
Masha and the Bear 2023 =F0=9F=8E=B6 Song of World=E2=80=99s Words =F0=9F=8C=8E Songs for kids =F0=9F=8E=B5 Around the world in one day =F0=9F=97=BA=EF=B8=8F~513,080~0~6~182~https://www.youtube.com/watch?v=3D-mzEO7rqLIg
Masha and the Bear 2023 =F0=9F=93=BA=F0=9F=92=A5 All new episodes =F0=9F=90=BB=F0=9F=91=A7 1 hour =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~15,905,778~0~6~182~https://www.youtube.com/watch?v=3DgrDQxPgLMLc
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=8D=BF Cinema (Episode 6) =F0=9F=94=94~2,280,119~0~6~182~https://www.youtube.com/watch?v=3DbqzccYSWBC8
Masha and the Bear 2023 =F0=9F=92=83 Dancing star =F0=9F=8C=9F Best episodes cartoon collection =F0=9F=8E=AC~755,881~0~6~182~https://www.youtube.com/watch?v=3D_H3B3C1EFw0
