title~views~uptime_y~uptime_m~uptime_d~link
Maria Clara e JP fazem o desafio do cubo de bal=C3=B5es~420,794~0~2~46~https://www.youtube.com/watch?v=3D7Ajsnm7jzPQ
Compila=C3=A7=C3=A3o de Halloween Maria Clara e JP =F0=9F=8E=83~15,940,146~2~26~776~https://www.youtube.com/watch?v=3DvZFbAhiXoPk
Maria Clara aprende os meses do ano e como usar o calend=C3=A1rio~10,456,600~2~26~776~https://www.youtube.com/watch?v=3DshqWq70oEOI
Maria Clara quer ser uma boa menina completando uma lista de tarefas.~7,362,124~2~26~776~https://www.youtube.com/watch?v=3DtUOkGhr1dFU
JP ensina pra Maria Clara e suas amigas que frutas s=C3=A3o melhores que doces=F0=9F=98=8B~80,075,753~2~26~776~https://www.youtube.com/watch?v=3Dqf-8lW2BLR0
Maria Pretends to be a Nanny for Baby JP =F0=9F=91=B6~13,577,264~2~26~776~https://www.youtube.com/watch?v=3DwAmMwdNZENw
Maria Clara e JP ensinam os 5 sentidos do corpo humano~6,365,973~2~26~776~https://www.youtube.com/watch?v=3DtEtVkpoRKjc
Maria Clara e JP ensinam o alfabeto com Pop it e Fidget toys~47,999,217~2~26~776~https://www.youtube.com/watch?v=3DetoAQi1vMg8
Maria Clara e JP jogam hipnotizados~6,100,110~2~26~776~https://www.youtube.com/watch?v=3DieCOGc977zI
Um dia inteiro brincando na f=C3=A1brica dos bonecos da Maria Clara e JP =E2=9D=A4=EF=B8=8F~7,460,590~2~26~776~https://www.youtube.com/watch?v=3DWeGsTS8sgYE
Maria Clara e JP visitam o dentista~5,275,072~2~26~776~https://www.youtube.com/watch?v=3DW5wLVi-glYI
TROCAS NO TABULEIRO DE FIDGET TOYS COM MARIA CLARA E JP~6,152,578~2~26~776~https://www.youtube.com/watch?v=3Dx8f-AhVaKWQ
Maria Clara e JP aprendem a import=C3=A2ncia de manter seus brinquedos guardados e organizados.~10,369,888~2~26~776~https://www.youtube.com/watch?v=3D-wmzEIT_2nU
Fiz uma camiseta linda de Tie Dye nas minhas f=C3=A9rias!~2,732,012~2~26~776~https://www.youtube.com/watch?v=3DqfyNUoCCEHs
ABRINDO PACOTES SURPRESA DE FIDGET TOYS! (COMUM, RARO E LEND=C3=81RIO)~4,767,328~2~26~776~https://www.youtube.com/watch?v=3Ds6X7mypGxCE
DESAFIO DO POP IT VS CHOCOLATE COM A MINHA M=C3=83E!~3,723,255~2~26~776~https://www.youtube.com/watch?v=3DOggLzJ8CLwM
Maria Clara finge ser dentista por um dia e salva os dentes do JP!~11,042,692~2~26~776~https://www.youtube.com/watch?v=3DkOqYHNlCmbg
O super pai da Maria Clara e JP =E2=99=A5 A funny story of a super dad~9,778,290~2~26~776~https://www.youtube.com/watch?v=3DELeK-8abtqw
MARIA CLARA E JP APRENDEM AS REGRAS DE CONDUTA NA PRAIA -  Learn Rules of Conduct for Children~36,370,422~2~26~776~https://www.youtube.com/watch?v=3DfGqqHaEGick
