title~views~since_upload~link
Justin Bieber - All Around Me (CHANGES: The Movement)~10,281,549~3 years ago 2 minutes, 33 seconds~https://www.youtube.com/watch?v=3Ddnl9wEuQCZU
Justin Bieber - CHANGES: The Movement (Trailer)~673,703~3 years ago 43 seconds~https://www.youtube.com/watch?v=3DobK3iFAKk3k
The Finale - Justin Bieber: Seasons~7,437,975~3 years ago 16 minutes~https://www.youtube.com/watch?v=3DIilZLGt_Ufo&amp;pp=3DsAQB
Album on the Way  - Justin Bieber: Seasons~13,658,407~3 years ago 9 minutes, 52 seconds~https://www.youtube.com/watch?v=3DpWcI-BeQqls&amp;pp=3DsAQB
Justin Bieber - Zane Lowe and Apple Music =E2=80=99Changes=E2=80=99 Interview~2,817,116~3 years ago 43 minutes~https://www.youtube.com/watch?v=3DT_fw3qNx1OM
Justin Bieber - At Least For Now (Audio)~3,445,297~3 years ago 2 minutes, 30 seconds~https://www.youtube.com/watch?v=3D7I-o8y97hqE
Justin Bieber - That's What Love Is (Audio)~4,510,851~3 years ago 2 minutes, 46 seconds~https://www.youtube.com/watch?v=3D5grPXVPBM14
Justin Bieber - Confirmation (Audio)~9,187,692~3 years ago 2 minutes, 52 seconds~https://www.youtube.com/watch?v=3Dq1uwl3ohoKM
Justin Bieber - Changes (Audio)~9,141,363~3 years ago 2 minutes, 17 seconds~https://www.youtube.com/watch?v=3DVYd2CVrrDnA
Justin Bieber - E.T.A. (Audio)~5,924,897~3 years ago 2 minutes, 52 seconds~https://www.youtube.com/watch?v=3DY4dGS4M-wjQ
Justin Bieber - Second Emotion (feat. Travis Scott)(Audio)~9,220,804~3 years ago 3 minutes, 24 seconds~https://www.youtube.com/watch?v=3DBx5QlA8xp28
Justin Bieber - Take It Out On Me (Audio)~4,644,527~3 years ago 2 minutes, 59 seconds~https://www.youtube.com/watch?v=3DAQ6N3ES666E
Justin Bieber - Running Over (feat. Lil Dicky)(Audio)~4,800,845~3 years ago 3 minutes~https://www.youtube.com/watch?v=3DPf0B9v9lDYU
Justin Bieber - Forever (feat. Post Malone &amp; Clever)(Audio)~36,860,654~3 years ago 3 minutes, 40 seconds~https://www.youtube.com/watch?v=3DZdRfOV5XNNE
Justin Bieber - Available (Audio)~7,811,863~3 years ago 3 minutes, 15 seconds~https://www.youtube.com/watch?v=3DY89lvA-LrfE
Justin Bieber - Come Around Me (Audio)~27,842,304~3 years ago 3 minutes, 22 seconds~https://www.youtube.com/watch?v=3DC86jztHhLyk
Justin Bieber - Habitual (Audio)~10,017,054~3 years ago 2 minutes, 49 seconds~https://www.youtube.com/watch?v=3DHXY2Q9liGHk
Justin Bieber - All Around Me (Audio)~8,133,804~3 years ago 2 minutes, 18 seconds~https://www.youtube.com/watch?v=3DOcnrboRX0lQ
Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo~662,491,494~3 years ago 3 minutes, 45 seconds~https://www.youtube.com/watch?v=3D3AyMjyHu1bA
The Wedding: Officially Mr. &amp; Mrs. Bieber - Justin Bieber: Seasons~154,492,621~3 years ago 10 minutes, 57 seconds~https://www.youtube.com/watch?v=3DG-4tJ63X5vo&amp;pp=3DsAQB
Justin Bieber - Intentions (Live On Saturday Night Live / 2020)~6,515,845~3 years ago 3 minutes, 46 seconds~https://www.youtube.com/watch?v=3D2l75R7ZS-c0
Justin Bieber - Yummy (Live On Saturday Night Live / 2020)~2,433,213~3 years ago 3 minutes, 35 seconds~https://www.youtube.com/watch?v=3Dl_ucLDHFt4A
Justin Bieber - Intentions (Official Lyric Video) ft. Quavo~7,453,345~3 years ago 3 minutes, 35 seconds~https://www.youtube.com/watch?v=3DVI8lrXNSLnA
Planning The Wedding a Year Later - Justin Bieber: Seasons~35,717,170~3 years ago 8 minutes, 30 seconds~https://www.youtube.com/watch?v=3DftLr7mTD4rA&amp;pp=3DsAQB
Justin Bieber - Intentions ft. Quavo (Official Video)~87,487,323~3 years ago 6 minutes, 40 seconds~https://www.youtube.com/watch?v=3D9p2wMpVVtXg
Only Up From Here - Justin Bieber: Seasons~13,251,785~3 years ago 8 minutes, 37 seconds~https://www.youtube.com/watch?v=3Duwtw0RPl6yY&amp;pp=3DsAQB
The Dark Season - Justin Bieber: Seasons~26,048,597~3 years ago 14 minutes, 50 seconds~https://www.youtube.com/watch?v=3DUz2-nYKCFIo&amp;pp=3DsAQB
Justin Bieber - Yummy (Summer Walker remix)~3,803,765~3 years ago 3 minutes, 31 seconds~https://www.youtube.com/watch?v=3Dt2e2nIwN4F8
Justin Bieber - Yummy (Tik Tok Compilation Video)~2,328,562~3 years ago 3 minutes, 31 seconds~https://www.youtube.com/watch?v=3DWOSGTJEGZvM
Justin Bieber - Get Me (feat. Kehlani)(Audio)~12,225,109~3 years ago 3 minutes, 4 seconds~https://www.youtube.com/watch?v=3DeI_ifdDi1R4
