title~views~since_upload~link
One of us Shaves our Eyebrows =F0=9F=98=AC | OT 7~38,991,460~4 years ago 21 minutes~https://www.youtube.com/watch?v=3DrT9PI5q2Etc
Super Bowl Stadium Trick Shots | Dude Perfect~26,170,705~4 years ago 7 minutes, 33 seconds~https://www.youtube.com/watch?v=3DVOzA2V4HbJA
Model Rocket Battle 2 | Dude Perfect~179,760,807~4 years ago 7 minutes, 55 seconds~https://www.youtube.com/watch?v=3DuPCi5Rs7EuA
Dude Perfect Rewind 2018~16,061,914~4 years ago 6 minutes, 12 seconds~https://www.youtube.com/watch?v=3DDXcuvtbotYQ
Skiing Stereotypes | Dude Perfect~73,290,820~4 years ago 8 minutes, 1 second~https://www.youtube.com/watch?v=3D7y-hKLfeurY
World Record Exercise Ball Surfing | OT 6~76,546,830~4 years ago 19 minutes~https://www.youtube.com/watch?v=3Di25i6vyjIpg
Airsoft Battle Royale | Dude Perfect~84,193,082~4 years ago 8 minutes, 54 seconds~https://www.youtube.com/watch?v=3DrQWb_oYS1tg
Dunk Tank FIFA | Dude Perfect~38,235,665~4 years ago 11 minutes, 51 seconds~https://www.youtube.com/watch?v=3D5LZ_G8jRGHg
Grocery Store Stereotypes~110,618,646~4 years ago 6 minutes, 37 seconds~https://www.youtube.com/watch?v=3DJHiLEkV8l_8
World's Strongest Laser | OT 5~77,640,854~5 years ago 16 minutes~https://www.youtube.com/watch?v=3D-qATVnpaHTo
Archery Trick Shots 2 | Dude Perfect~31,606,373~5 years ago 7 minutes, 33 seconds~https://www.youtube.com/watch?v=3D4RkZAfD-HeM
High Speed Sports Battle | Dude Perfect~36,149,983~5 years ago 8 minutes, 38 seconds~https://www.youtube.com/watch?v=3D6bH9Qb_feRY
Bowling Trick Shots 2 | Dude Perfect~75,059,105~5 years ago 7 minutes, 36 seconds~https://www.youtube.com/watch?v=3DwSB9JvsBT4M
Nerf Blasters Floating Island Battle | Dude Perfect~98,310,755~5 years ago 5 minutes, 19 seconds~https://www.youtube.com/watch?v=3DmuzeGsrYpnQ
All Sports Golf Battle 3 | Dude Perfect~71,008,797~5 years ago 11 minutes, 8 seconds~https://www.youtube.com/watch?v=3DNo8-mBek3rs
Dirt Bike Battle | Dude Perfect~74,108,217~5 years ago 7 minutes~https://www.youtube.com/watch?v=3D6re9XAwo4b4
The Net Gun | OT 4~84,598,136~5 years ago 16 minutes~https://www.youtube.com/watch?v=3DRohJfM-VFS0
Ping Pong Trick Shots 4 | Dude Perfect~169,761,994~5 years ago 5 minutes, 51 seconds~https://www.youtube.com/watch?v=3DDkW87-Z9FAY
Real Life Rocket League Battle | Dude Perfect~42,653,324~5 years ago 7 minutes, 22 seconds~https://www.youtube.com/watch?v=3DQU1byle-nmA
Old School Trick Shots | Dude Perfect~70,255,858~5 years ago 6 minutes, 41 seconds~https://www.youtube.com/watch?v=3Dv-dfygYIfLs
Giant Darts Battle | Dude Perfect~66,254,286~5 years ago 7 minutes, 44 seconds~https://www.youtube.com/watch?v=3D9m9oO84Q2fk
Fortnite with Ninja | OT 3~63,038,167~5 years ago 16 minutes~https://www.youtube.com/watch?v=3DFepIkIILumA
Deep Sea Fishing Battle | Dude Perfect~103,763,375~5 years ago 7 minutes, 52 seconds~https://www.youtube.com/watch?v=3DHk5dxn5dj2M
Crossbow Trick Shots | Dude Perfect~36,445,942~5 years ago 6 minutes, 10 seconds~https://www.youtube.com/watch?v=3DhYirFqEc8Tg
Boomerang Trick Shots | Dude Perfect~112,148,185~5 years ago 6 minutes, 11 seconds~https://www.youtube.com/watch?v=3DS9KxqRUcnCU
March Madness Stereotypes~75,274,252~5 years ago 5 minutes, 48 seconds~https://www.youtube.com/watch?v=3DWh1L0rOaa88
World's Longest LEGO Walk | OT 2~62,224,546~5 years ago 15 minutes~https://www.youtube.com/watch?v=3DMuPL-PSMX0Q
Football vs Soccer Trick Shots | Dude Perfect~107,317,171~5 years ago 6 minutes, 39 seconds~https://www.youtube.com/watch?v=3DqZHycHI3F1Q
Model Rocket Battle | Dude Perfect~103,936,266~5 years ago 6 minutes, 47 seconds~https://www.youtube.com/watch?v=3DWpqUOW19aJQ
Real Life Trick Shots 2 | Dude Perfect~327,148,799~5 years ago 4 minutes, 18 seconds~https://www.youtube.com/watch?v=3DVRJmcxCrAOA
Can you Crush a Diamond with a Hammer? | OT 1~69,676,502~5 years ago 12 minutes, 59 seconds~https://www.youtube.com/watch?v=3Dg1QONg2b2JQ
Dude Perfect Rewind 2017~19,348,922~5 years ago 6 minutes, 21 seconds~https://www.youtube.com/watch?v=3D9oyKePWRi8Y
Christmas Stereotypes~118,224,750~5 years ago 7 minutes, 48 seconds~https://www.youtube.com/watch?v=3DycVc1jsaAA0
All Sports Golf Battle 2 | Dude Perfect~109,764,787~5 years ago 11 minutes, 41 seconds~https://www.youtube.com/watch?v=3D-RmUADCWI4A
Water Bottle Flip 2 | Dude Perfect~435,174,017~5 years ago 4 minutes, 58 seconds~https://www.youtube.com/watch?v=3DVJwoSfTOhyM
Freeze Frame Football Battle | Dude Perfect~101,694,433~5 years ago 6 minutes, 52 seconds~https://www.youtube.com/watch?v=3DcqylLiMzk54
Baseball Trick Shots | Dude Perfect~45,644,012~5 years ago 6 minutes, 10 seconds~https://www.youtube.com/watch?v=3DygtvRzTLPNo
Glow In The Dark Trick Shots | Dude Perfect~30,446,341~6 years ago 6 minutes, 21 seconds~https://www.youtube.com/watch?v=3DsOCQipbEqNg
Build A Boat Battle~92,108,447~6 years ago 7 minutes, 33 seconds~https://www.youtube.com/watch?v=3DRdNqmKrRmbU
Soccer Trick Shots 2 | Dude Perfect~44,997,745~6 years ago 5 minutes, 55 seconds~https://www.youtube.com/watch?v=3DXM23h-eJ08A
Nerf Bow Trick Shots | Dude Perfect~71,703,261~6 years ago 6 minutes, 24 seconds~https://www.youtube.com/watch?v=3DLcZ2AuvxXNA
Airplane Trick Shots | Dude Perfect~253,949,968~6 years ago 4 minutes, 49 seconds~https://www.youtube.com/watch?v=3D8IQbF0IK-f4
Blitzball Trick Shots 3 | Dude Perfect~72,837,518~6 years ago 7 minutes, 53 seconds~https://www.youtube.com/watch?v=3DgA8Gru79DcE
Nerf Slip and Slide Battle | Dude Perfect~52,655,133~6 years ago 5 minutes, 25 seconds~https://www.youtube.com/watch?v=3D6uhN97Cpz6I
Card Throwing Trick Shots | Dude Perfect~181,534,702~6 years ago 6 minutes, 47 seconds~https://www.youtube.com/watch?v=3DTvNTcB6c-V8
